Username, Date, Comment 
Sis. Dennise., Sun Jun 23 2019, -Single but not alone!❤<br />-It&#39;s ok to be single, but it&#39;s not ok to be alone!👍 
Kelly Bright, Sat Jun 22 2019, Thanks God for the grown man 
PRECIOUS KOMUHENDO AMOOTI, Fri Jun 21 2019, Gone but not forgotten! May the LORD GOD bless you with internal Life in His Kingdom and sit beside  Our LORD JESUS CHRIST.Amen. 
Cleeford.DisabilitySpeaks, Fri Jun 21 2019, Powerful 
Joyce Woodruff, Thu Jun 13 2019, I am whole only because I am in Christ Jesus. Jesus told the woman thou faith has made thee whole. 
BARofLUNCH, Mon Jun 10 2019, I get that it is crucial for me to be whole and content with my relationship with the Father in my singleness. What I find difficult is the contentment part of it. Often the desire to be in a relationship with someone can be a bit intense (especially when your friends who are younger than you are busy getting married and having kids) and during those times, it can be difficult to be content with the relationship I have with the Father (I call Him that cause it makes Him seem more personal, but I acknowledge that He is also God.. Is that right?).<br /><br />My question is, how do you navigate those moments when you long to be in a relationship with someone, but you know that you&#39;re not ready to step into that just yet? Also, how can you be sure that the desire you have is in fact pure? 
kenneth kaimenyi, Thu Jun 06 2019, so impressing.. 
silverlily2389, Thu Jun 06 2019, Also, I love how everyone brought out their hard copy of Bibles and notebooks. 😍 
silverlily2389, Thu Jun 06 2019, He&#39;s better for marrying me hahaha! 
T. McGaugh, Mon Jun 03 2019, Wow they&#39;re marriage was real and beautiful 
mutungi edmund, Thu May 30 2019, Single Ness is about Self development and growth before Marriage. 
Lila Jones, Tue May 28 2019, He forgot about common law marriage..some states u get divorce from common law marriage. Divorce can be positive..not devastating.. 
anaafi priscilla, Wed May 22 2019, Who will take me for lunch today😊<br />Watch me change 😊<br />2019 who is still watching🙏🙏 
Anyole Bosman, Mon May 20 2019, Still impacting lives after he is gone.blessings from Uganda 
Grace Ijeoma George, Fri May 17 2019, Amen! Amen! Amen! 
Melisa, Fri May 17 2019, When he said only his wife turn him on, I legit spat out my drink. Lol what a great sermon! 
Jackline Jerotich, Mon May 13 2019, Gone but your wisdom still built  many people here...Still watching @ 2019 second time now 
Immortal Fool, Sun May 12 2019, This man was a false teacher. Let his premature death be a warning to you all.  Pray to God and ask him to lead you   to church that will preach the correct Gospel. I challenge you to watch this documentary.<br /><br /><a href="https://youtu.be/qvC4lqaPgDo">https://youtu.be/qvC4lqaPgDo</a> 
Soy Santana, Wed May 08 2019, Lord please bless me with a Man/Leader who claims me as his everything... liver, lungs, my pancreas....💯😊❤🤣🙌🏽 
Moeketsi Makgalane, Tue May 07 2019, wow what lovely people they were on this planet. we thank GOD their lives they have truly transformed lives of millions. GOD IS GREAT AND MIGHTY. 
Virginia Wambui, Mon May 06 2019, Is better to be single than rushing to marriage then divorce it&#39;s worse than physical death ,I rather remain single until God connect me to my soulmate ,these relationships hurts 
Vikki Carr, Mon May 06 2019, This year l  became a widow. I’m 45 and l really don’t mind if l stay single. As long as l have Jesus I’ll be content in whatever state I’m in. 
Hyun Joo Kim, Thu May 02 2019, I&#39;m not religious but I respect his stage presence and simplicity of points 
Deana Gatlin, Thu May 02 2019, If you are really single you do Gods chosen fast everyday.  Do you have a disabled family member please take care of that family member. 
Deana Gatlin, Thu May 02 2019, The best people in the world are single people because spiritually we are married to everybody.  And if you are really single you only date Jesus 
Layla Wathu Banda, Wed May 01 2019, I still find it hard to believe he is gone. As a christian I choose not to feel too sad because, for us, death is merely a major change in address. I thank you God for this man&#39;s life. And I thank you lord for having me alive in an era where the teaching of your word is so accessible. 
Najerea, Wed May 01 2019, WOW BESIDE EVERY GREAT MAN IS AN EVEN GREATER WOMAN! QUEEN MOTHER RUTH SPEAKS SO ELOQUENTLY AND POWERFULLY ! HALLELUJAH POWER COUPLE!!! THEY ARE NOW RULER OVER MANY IM HEAVENLY PLACES! 
Musiinambi Fridah, Tue Apr 30 2019, Thanks much en God bless u 
Musiinambi Fridah, Tue Apr 30 2019, So inspiring  massage  en adorable 
Musiinambi Fridah, Tue Apr 30 2019, Hallelujah  hallelujah  hallelujah  hallelujah!!!! 
Musiinambi Fridah, Tue Apr 30 2019, Amen Amen!!! 
Dr. Batholomew C James., Tue Apr 30 2019, His a blessing to me in particular. 
Louise L, Sat Apr 27 2019, Why aren&#39;t people able to teach singledom WITHOUT it ALWAYS and FOREVER leading to finding a mate.  Not all singles want to find a mate ~ some are more interested in their anointing, purpose, living with an undivided heart, and learning who they are in Him and walking with Him.  This is tired. 
kirth Gonzales, Fri Apr 19 2019, Yes you are rip off two souls 
kirth Gonzales, Fri Apr 19 2019, Divorce is worst than physical death so true 
kirth Gonzales, Fri Apr 19 2019, No body WILL understand this from a worldy view sad but true 
kirth Gonzales, Fri Apr 19 2019, I just don&#39;t like using the word mighty for God I know is Almighty 
redblondechick, Fri Apr 19 2019, It&#39;s ok to be single, but it&#39;s not okay to be alone. 
andyyoungful, Thu Apr 18 2019, If my children’s mother left me with my kids then had a baby outside marriage what’s the answer 
Iana Garrick, Tue Apr 16 2019, His teaching have completely revolutionized my life! 
Bri Zenith, Tue Apr 16 2019, Divorce can be the happiest moment of your life! Some people will drag you through the mud. 
Gloria Sibanda, Mon Apr 15 2019, RIP 
mags sekhu, Fri Apr 12 2019, Profound wisdom 🔥🔥💥 
fairymairah, Fri Apr 12 2019, Interesting ! ! ! ! 
annie jones, Thu Apr 11 2019, Paul stated that if you can control yourself, get married. A lot of people don&#39;t see what you go through being single. They are not thinking of fornication. They telling us to stay single when they are married. you don&#39;t have to go to bed alone, you don&#39;t have to get out of bed alone. You have someone to come home to or someone to come home to you. But when you are trying to stay true to God, when you are trying to stay obedient to the word of God and you have a need of a spouse and not a spouse, you can&#39;t say how we feel, because you don&#39;t know. You have what you need and who you need to stay faithful to God. People wants to give you all kinds of advice, do it yourself, get this or get that, but it all comes down to sexual sin. So when you have been alone as long as I have and you want to tell me.......oh you are never alone, then I want to tell you God is with me SPIRITUALLY, but protects me from the flesh. Spiritual warfare still invades my spirit everyday to have to fight off to keep me from sexual sin. it&#39;s is not easy:<br />Amen 
Sarah God's Best, Sun Apr 07 2019, Exactly what i needed as i plan to get into marriage. But my question is, i was in a life that wasn&#39;t so good n in it got a son out of wedlock in which this means i have already defiled my matrimonial bed😢😢...Lord forgive me. I have reconciled with Christ n Day in Day out I&#39;m practicing righteousness. Is there hope for me to be in a happy n Godly marriage that will glorify God?.. Watching on Sunday 7th March 2019 from Kenya 
Montreala Brancherto, Sat Apr 06 2019, 2019 all love RIP 
Bokang Johannes, Wed Mar 27 2019, cant wait to see this great man in heaven 
Jacob Mwacharo, Sat Mar 23 2019, Still impacting lives after your passing away.. I Thank God for your work 
john nzao, Sat Mar 23 2019, It&#39;s my first time to see you and I like you... 
Benita Maurance, Thu Mar 21 2019, I’m blessed I’m not alone ❤️ 
Benita Maurance, Thu Mar 21 2019, I’m blessed I’m not alone ❤️ 
Emerita Versace, Wed Mar 20 2019, So blessed by this sermon 💕💕 
Njavwa Sichone, Mon Mar 18 2019, Powerful message!!! RIP 
Nozipho Charity, Mon Mar 18 2019, When did he pass on 😭 
Rachael Desmond, Sat Mar 16 2019, I love this generals too much 
shameel Muhammad, Fri Mar 15 2019, Amen God strength me 
familiaempressaria dejesus, Thu Mar 14 2019, I won’t get merry until I don’t understand all these revelations. I am 22 and I wanna take 2 years more to focus building myself from liability to asset. 
Jesus Saves, Wed Mar 13 2019, Thanks to God, &amp; his Holy Spirit, I&#39;ve been healed after I divorced.<br />Wow! They were so beautiful together! God bless their souls!🙏🏽 
Osifo Humphrey, Fri Mar 08 2019, may their gentle soul rest in perfect peace amen, 
Karen Wangare, Wed Mar 06 2019, Your Wisdom will forever Live.Watching @2019 
Selas Gosaye, Tue Mar 05 2019, Not be with as in flesh but His teaching encourages those who were attentively looking, oh Lord thanks to u too brother! 
Jackline Kahwa, Tue Feb 26 2019, Is Doctor dead???? 
EndTime Revival Team Tv, Mon Feb 25 2019, Wow!!! 
gavrila indah sari, Thu Feb 21 2019, 🙏🏻🙏🏻🙏🏻🙏🏻 
Maryjane Canete, Sun Feb 17 2019, thank you for sharing...<br />I am not alone... <br />bless your soul sir. 
Lolita St.Clair, Fri Feb 01 2019, Singless p1 I enjoyed and hearing Mrs. Munroe speak about how God prepares you while single..Dr. Munroe speaks on being single from all points in your life.... 
Noreen Ebotiait, Tue Jan 22 2019, Dearly missed. Rip Papa . You inspire me day after day. 
BlessedIam, Tue Jan 15 2019, Beautiful 😍 
Kisakye Sharon, Fri Jan 11 2019, I wish we kud still get more of him 
Kateri Tekawidthá, Fri Jan 11 2019, You should never get married...if you are single. <br />NOT lonely. 
Black Girl, Tue Jan 01 2019, Christians, let&#39;s be real. Not every believer will marry. 
Mutonyi Beth, Sat Dec 29 2018, Rip man of God we shall meet in heaven,u were so inspiring 
Helen Boula, Sun Dec 16 2018, I don&#39;t understand how you people can get away with all the BS that you do and not go to jail.your s night joke. 
MONICA REYES, Wed Sep 19 2018, THANK YOU JESUS 😄 
MONICA REYES, Wed Sep 19 2018, WOW!!! 
Robert Brown, Mon Aug 13 2018, Ok yet I don&#39;t need to be single so am going to get married to my beautiful lady so may the lord bless the new Madrid we the best on heart 
Gloria Momoh, Tue Jul 10 2018, Your marriage is only as good as you are... 
Indlovukazi KaIsa, Sat Jun 24 2017, this is so powerfully _rest in peace Man of God 
Laz C, Tue Jun 13 2017, He is with the angels and saints now, where he belongs. Thank you Dr. you are a blessing for the generations to come. Good and faithful servant 
joyc chao, Mon Mar 20 2017, oh God!  am here on point.....God bless you even though you are no longer in this world.<br />your teaching are blessing to us.R.I.P. man of God 
Ayni Gebrekiristos, Sat Mar 11 2017, I am sorry  that you are not here with us on earth.  your loved your wife and your two are together in heaven.  I love you and miss you both. 
Meera Jakhar, Wed Feb 22 2017, . 
Iya Ngonde, Thu Feb 09 2017, wao , im so blessed 
LaRhonda H., Mon Nov 21 2016, I was just scrolling for  single sermons and came across this. This blessed my night 😇 &amp; life 
Trinity Kay, Tue Jun 21 2016, So lovely! Wow what a marriage they must have had such love!!!  What a blessing!!! 
K.M Smith, Fri Dec 05 2014, This blessed my soul to God be the glory I think I watched once but didn&#39;t listen I was all ears God Chasten those He love and I recieve the chastisement thank you Lord for stopping me in my tracks. 
Vuyokazi Ndungane, Sun Nov 16 2014, We shall meet in heaven.....You have run the race faithfully and you kept the faith...Now you are resting on Christ&#39;s bosom. Glory be to God 
Olivia Wondal, Mon Nov 10 2014, Great Leader, Finish Well... see u in Heaven 
Nana AY, Mon Nov 10 2014, RIP ,,, THIS WAS THE SERMON THAT TRANSFORMED MY LIFE....LOVE YOU DR N MRS MUNROE...WILL MISS YOU 
abdi geleta, Sun Jan 19 2014, influential 
lebengm1, Sat Oct 12 2013, I love Mrs Monroe, I would love to hear more from her. 
Sandra Mills, Tue Mar 12 2013, Ahhh! this man is so romantic 
sakamuk, Fri Mar 08 2013,  &quot;I love with all my heart, my liver my pancreas, my everything&quot;....lol 
SteponFAITH, Mon Dec 17 2012, God bless you my brother with more wisdom and revelation! Im soooo blessed by your obedience to be a willing vessel for the Holy spirit.. I pray increase over you my brotha!  
William Gitahi Muthui, Thu Nov 29 2012, Wonderfuly presented 
Christopher Mutisya, Mon Nov 19 2012, Dr. Myles Munroe is a gem...he is blessed with wisdom.
 
Themba Ndlela, Wed Oct 24 2012, I love this
 
J Tdbu, Wed Sep 12 2012, I love this couple, so genuine, so loving, so Christian!! 
Amazingly blessed!
God is great! 
YahYah37, Thu Aug 30 2012, Thank you for posting this yafukiya!!!  God bless you for the seed!!! 
leah Gerth, Tue Jul 31 2012, &quot;...Invade our ignorance with Your wisdom...&quot; 
Morning Glory, Thu Jul 12 2012, Am so glad I found this teaching and at this phase of my life. To everyone who has ever loved, still in love and plan to someday really needs the knowledge of this teaching. This will help to restore and avoid peace/pain. 
eltopus4747, Mon Jan 02 2012, Awesome teaching! 
